"","jambscore","postutme","result","year","scale"
"1",185,55.5,"Accepted",2015,100
"2",198,49.4,"Accepted",2017,100
"3",191,48,"Accepted",2015,100
"4",199,41.5,"Accepted",2015,100
"5",280,60.2,"Accepted",2017,100
"6",230,55.5,"Accepted",2013,100
"7",205,37,"Rejected",2018,100
"8",225,35.5,"Rejected",2017,100
"9",180,43,"Rejected",2015,100
"10",190,45,"Rejected",2015,100
"11",160,32,"Rejected",2018,100
"12",200,58.4,"Accepted",2017,100
"13",240,67,"Accepted",2015,100
"14",219,56,"Accepted",2013,100
"15",250,55.7,"Accepted",2015,100
"16",200,25.5,"Rejected",2015,100
"17",245,45.5,"Accepted",2017,100
"18",200,55.9,"Accepted",2011,100
"19",200,35.5,"Accepted",2018,100
"20",215,54,"Accepted",2015,100
"21",120,26,"Rejected",2016,100
"22",245,45.5,"Accepted",2015,100
"23",218,45,"Accepted",2016,100
"24",200,66,"Accepted",2014,100
"25",195,35.5,"Rejected",2018,100
"26",215,35.5,"Rejected",2016,100
"27",170,36,"Rejected",2018,100
"28",192,35.5,"Rejected",2018,100
"29",233,45.5,"Accepted",2017,100
"30",210,60,"Accepted",2012,100
"31",222,60,"Accepted",2016,100
"32",237,57,"Accepted",2015,100
"33",221,66,"Accepted",2014,100
"34",200,55.7,"Accepted",2014,100
"35",200,65.6,"Accepted",2017,100
"36",237,45.5,"Accepted",2016,100
"37",180,35.5,"Rejected",2017,100
"38",235,55.5,"Accepted",2016,100
"39",250,54,"Accepted",2018,100
"40",273,62,"Accepted",2013,100
"41",196,35.5,"Rejected",2018,100
"42",215,31.5,"Accepted",2016,100
"43",235,56.4,"Accepted",2011,100
"44",220,56,"Accepted",2016,100
"45",190,39.5,"Rejected",2016,100
"46",210,54,"Accepted",2014,100
"47",247,40.5,"Rejected",2015,100
"48",160,25.1,"Rejected",2018,100
"49",300,80,"Accepted",2014,100
"50",210,45.5,"Accepted",2018,100
"51",180,35.5,"Rejected",2017,100
"52",180,40,"Rejected",2016,100
"53",250,59.9,"Accepted",2018,100
"54",295,75.7,"Accepted",2015,100
"55",205,25.5,"Rejected",2017,100
"56",212,45.5,"Rejected",2016,100
"57",180,25.5,"Rejected",2017,100
"58",218,35.5,"Rejected",2018,100
"59",215,35.5,"Accepted",2016,100
"60",213,67,"Accepted",2014,100
"61",220,50.1,"Accepted",2017,100
"62",140,23,"Rejected",2017,100
"63",190,35.5,"Accepted",2018,100
"64",185,35.5,"Rejected",2015,100
"65",214,52.9,"Accepted",2009,100
"66",273,60,"Accepted",2013,100
"67",260,55.5,"Accepted",2017,100
"68",154,45.5,"Rejected",2017,100
